Inj.,Injection Name,Type ,Level ,Vial,Volume ,RT,Expected RT,Quant Ion,Area,Amount ,Theo. Amt ,Concentration ,RF,ISTD Amount ,ISTD Area ,Comment 
No.,Selected Peak:,,,Pos'n,µL,min,min,m/z,counts*min,n.a.,n.a.,n.a.,,n.a.,counts*min,
,,,,,,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,TIC,
,,,,,,[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],[8.75..9.20],
297,Bee sample 113,Unknown,,6,2,8.91,n.a.,n.a.,13069,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
298,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
299,Bee sample 114,Unknown,,7,2,8.96,n.a.,n.a.,6002,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
300,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
301,Bee sample 33,Unknown,,8,2,9,n.a.,n.a.,16166,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
302,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
303,Blank 4/9,Unknown,,9,2,9,n.a.,n.a.,6938,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
304,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
305,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
306,Bee sample 64,Unknown,,2,2,9,n.a.,n.a.,7697,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
307,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
308,Bee sample 34,Unknown,,3,2,9,n.a.,n.a.,17021,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
309,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
310,Bee sample 45,Unknown,,4,2,9,n.a.,n.a.,8904,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
311,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
312,Bee sample 65,Unknown,,5,2,9.05,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
313,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
314,Bee sample 76,Unknown,,6,2,8.94,n.a.,n.a.,9737,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
315,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
316,Blank 4/18,Unknown,,7,2,9.05,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
317,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
318,Bee sample 29,Unknown,,8,2,8.95,n.a.,n.a.,9745,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
319,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
320,Bee sample 55,Unknown,,9,2,9,n.a.,n.a.,7634,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
321,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
322,Bee sample 57,Unknown,,10,2,9,n.a.,n.a.,6477,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
323,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
324,Bee sample 99,Unknown,,11,2,8.95,n.a.,n.a.,7639,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
325,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
326,Bee sample 60,Unknown,,12,2,8.97,n.a.,n.a.,8735,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
327,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
328,Bee sample 91,Unknown,,13,2,8.95,n.a.,n.a.,9595,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
329,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
330,Bee sample 111,Unknown,,14,2,8.94,n.a.,n.a.,9934,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
331,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
332,Bee sample 63,Unknown,,15,2,8.94,n.a.,n.a.,9442,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
333,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
334,Bee sample 108,Unknown,,2,2,9,n.a.,n.a.,6748,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
335,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
336,Bee sample 94,Unknown,,3,2,9,n.a.,n.a.,7318,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
337,hexane,Unknown,,1,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
338,Bee sample 86,Unknown,,4,2,9.05,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,
